budget,static_frontier_quality,learned_router_quality,oracle_quality,router_feasible,oracle_feasible,static_feasible,oracle_cost,router_realized_cost,static_expected_cost,oracle_method,oracle_lp_quality,router_vs_static_gap,oracle_vs_router_gap,fraction_of_available_routing_value_captured
0.00579315,0.175,,0.175,False,True,True,0.00579315,,0.005793150000000002,approx,0.175,,,
0.02081553,0.31385241358554333,,0.9875,False,True,True,0.02081553,,0.02081553,approx,0.9875,,,
0.026525361250000004,0.31607607178430047,,0.9875,False,True,True,0.02081553,,0.026525361250000004,approx,0.9875,,,
0.04725757250000001,0.32415010226014473,,0.9875,False,True,True,0.02081553,,0.04725757250000001,approx,0.9875,,,
0.06798978375,0.33222413273598894,,0.9875,False,True,True,0.02081553,,0.06798978375,approx,0.9875,,,
0.08872199500000001,0.3375,,0.9875,False,True,True,0.02081553,,0.08153696999999999,approx,0.9875,,,
0.10945420625000002,0.3375,,0.9875,False,True,True,0.02081553,,0.08153696999999999,approx,0.9875,,,
0.1301864175,0.3375,,0.9875,False,True,True,0.02081553,,0.08153696999999999,approx,0.9875,,,
0.15091862875000003,0.3375,,0.9875,False,True,True,0.02081553,,0.08153696999999999,approx,0.9875,,,
0.17165084000000003,0.3375,,0.9875,False,True,True,0.02081553,,0.08153696999999999,approx,0.9875,,,
