budget,static_frontier_quality,learned_router_quality,oracle_quality,router_feasible,oracle_feasible,static_feasible,oracle_cost,router_realized_cost,static_expected_cost,oracle_method,oracle_lp_quality,router_vs_static_gap,oracle_vs_router_gap,fraction_of_available_routing_value_captured
0.0020056,0.8955555555555555,,0.8955555555555555,False,True,True,0.0020056,,0.0020056,approx,0.8955555555555555,,,
0.0023662200000000005,0.8996132623919672,,1.0,False,True,True,0.0023662200000000005,,0.0023662200000000005,approx,1.0,,,
0.02589808,0.9428213887786981,,1.0,False,True,True,0.0023662200000000005,,0.02589808,approx,1.0,,,
0.049790560000000005,0.9435464086300875,,1.0,False,True,True,0.0023662200000000005,,0.049790560000000005,approx,1.0,,,
0.07368304,0.944271428481477,,1.0,False,True,True,0.0023662200000000005,,0.07368304,approx,1.0,,,
0.09757552,0.9449964483328663,,1.0,False,True,True,0.0023662200000000005,,0.09757552,approx,1.0,,,
0.12146799999999999,0.9457214681842558,,1.0,False,True,True,0.0023662200000000005,,0.12146799999999999,approx,1.0,,,
0.14536048000000001,0.9464464880356451,,1.0,False,True,True,0.0023662200000000005,,0.14536048000000001,approx,1.0,,,
0.16925296,0.9466666666666667,,1.0,False,True,True,0.0023662200000000005,,0.15261629999999995,approx,1.0,,,
0.19314544,0.9466666666666667,,1.0,False,True,True,0.0023662200000000005,,0.15261629999999995,approx,1.0,,,
