budget,static_frontier_quality,learned_router_quality,oracle_quality,router_feasible,oracle_feasible,static_feasible,oracle_cost,router_realized_cost,static_expected_cost,oracle_method,oracle_lp_quality,router_vs_static_gap,oracle_vs_router_gap,fraction_of_available_routing_value_captured
0.0010041999999999998,0.04477611940298507,,0.04477611940298507,False,True,True,0.0010041999999999998,,0.0010042000000000002,approx,0.04477611940298507,,,
0.00238488,0.1845659779202793,,0.31343283582089554,False,True,True,0.00238488,,0.00238488,approx,0.31343283582089554,,,
0.004244893749999999,0.19770861568452658,,0.31343283582089554,False,True,True,0.00238488,,0.004244893749999999,approx,0.31343283582089554,,,
0.0074855875,0.20750468122975363,,0.31343283582089554,False,True,True,0.00238488,,0.0074855875,approx,0.31343283582089554,,,
0.01072628125,0.2173007467749807,,0.31343283582089554,False,True,True,0.00238488,,0.01072628125,approx,0.31343283582089554,,,
0.013966975,0.22388059701492538,,0.31343283582089554,False,True,True,0.00238488,,0.012903,approx,0.31343283582089554,,,
0.01720766875,0.22388059701492538,,0.31343283582089554,False,True,True,0.00238488,,0.012903,approx,0.31343283582089554,,,
0.0204483625,0.22388059701492538,,0.31343283582089554,False,True,True,0.00238488,,0.012903,approx,0.31343283582089554,,,
0.02368905625,0.22388059701492538,,0.31343283582089554,False,True,True,0.00238488,,0.012903,approx,0.31343283582089554,,,
0.02692975,0.22388059701492538,,0.31343283582089554,False,True,True,0.00238488,,0.012903,approx,0.31343283582089554,,,
