budget,static_frontier_quality,learned_router_quality,oracle_quality,router_feasible,oracle_feasible,static_feasible,oracle_cost,router_realized_cost,static_expected_cost,oracle_method,oracle_lp_quality,router_vs_static_gap,oracle_vs_router_gap,fraction_of_available_routing_value_captured
0.0031614,0.01990049751243781,,0.01990049751243781,False,True,True,0.0031614,,0.0031614,approx,0.01990049751243781,,,
0.0055268800000000005,0.09950089679500185,,0.22885572139303484,False,True,True,0.0055268800000000005,,0.0055268800000000005,approx,0.22885572139303484,,,
0.013363793750000002,0.13051614325990152,,0.22885572139303484,False,True,True,0.0055268800000000005,,0.013363793750000002,approx,0.22885572139303484,,,
0.023566187500000002,0.13222331045328978,,0.22885572139303484,False,True,True,0.0055268800000000005,,0.023566187500000002,approx,0.22885572139303484,,,
0.033768581250000006,0.133930477646678,,0.22885572139303484,False,True,True,0.0055268800000000005,,0.033768581250000006,approx,0.22885572139303484,,,
0.04397097500000001,0.13432835820895522,,0.22885572139303484,False,True,True,0.0055268800000000005,,0.03614639999999998,approx,0.22885572139303484,,,
0.05417336875000001,0.13432835820895522,,0.22885572139303484,False,True,True,0.0055268800000000005,,0.03614639999999998,approx,0.22885572139303484,,,
0.0643757625,0.13432835820895522,,0.22885572139303484,False,True,True,0.0055268800000000005,,0.03614639999999998,approx,0.22885572139303484,,,
0.07457815625000001,0.13432835820895522,,0.22885572139303484,False,True,True,0.0055268800000000005,,0.03614639999999998,approx,0.22885572139303484,,,
0.08478055000000001,0.13432835820895522,,0.22885572139303484,False,True,True,0.0055268800000000005,,0.03614639999999998,approx,0.22885572139303484,,,
