key,config,split,subset,status,n_queries,n_models,usd_available,naive_aggregate_cost,exact_realized_cost,relative_accounting_error,oracle_mean_quality,static_quality_at_oracle_cost,oracle_quality_advantage,router_frontier,reason
timeseries__train__pattern-recognition,timeseries,train,pattern-recognition,ok,296,18,True,9.353343932615048e-05,9.141797297297296e-05,0.023140595709805718,0.9763513513513513,0.6446085340560782,0.3317428172952731,skipped,
timeseries__train__similarity-analysis,timeseries,train,similarity-analysis,ok,90,18,True,0.00026235057654320983,0.00026442466666666667,-0.007843784581834932,0.9666666666666667,0.6700319794513415,0.29663468721532515,skipped,
timeseries__test__anomaly-detection,timeseries,test,anomaly-detection,ok,14,18,True,0.00021670535714285712,0.00020215357142857143,0.07198381711216711,1.0,0.6783142927384841,0.3216857072615159,skipped,
timeseries__test__event-prediction,timeseries,test,event-prediction,ok,36,18,True,0.00018455396604938275,0.00018498277777777777,-0.0023181170352526434,1.0,0.528663452955346,0.471336547044654,skipped,
timeseries__test__inductive-reasoning,timeseries,test,inductive-reasoning,ok,10,18,True,0.00027961650000000006,0.00025252499999999997,0.10728244728244765,1.0,0.39250781143866326,0.6074921885613367,skipped,
timeseries__test__noise-understanding,timeseries,test,noise-understanding,ok,10,18,True,9.234050000000001e-05,8.604500000000001e-05,0.07316520425358825,1.0,0.541193391961864,0.458806608038136,skipped,
timeseries__test__pattern-recognition,timeseries,test,pattern-recognition,ok,38,18,True,7.16338296398892e-05,7.105131578947368e-05,0.008198494903901855,0.9736842105263158,,,skipped,
timeseries__test__similarity-analysis,timeseries,test,similarity-analysis,ok,12,18,True,0.0005330819444444444,0.0005636583333333334,-0.05424631745984814,1.0,0.7668492989524667,0.23315070104753333,skipped,
video__train__charades_ego_activity,video,train,charades_ego_activity,ok,67,18,True,1.9171753174426367e-05,1.9115671641791045e-05,0.002933798701203685,0.07462686567164178,0.004373093543660655,0.07025377212798113,skipped,
video__train__charades_ego_object,video,train,charades_ego_object,ok,67,18,True,3.311899309423034e-05,3.559522388059701e-05,-0.06956637763181664,0.31343283582089554,0.1845659779202793,0.12886685790061625,skipped,
video__train__charades_ego_verb,video,train,charades_ego_verb,ok,67,18,True,2.8708866117175315e-05,2.777985074626866e-05,0.033442057676693594,0.29850746268656714,0.15251829639975445,0.1459891662868127,skipped,
