budget,static_frontier_quality,learned_router_quality,oracle_quality,router_feasible,oracle_feasible,static_feasible,oracle_cost,router_realized_cost,static_expected_cost,oracle_method,oracle_lp_quality,router_vs_static_gap,oracle_vs_router_gap,fraction_of_available_routing_value_captured
0.03669509,,0.8681318681318682,0.9285714285714286,False,True,False,0.03669509,0.28674677,,approx,0.9285714285714286,,,
0.04702266,0.9230769230769231,0.8681318681318682,0.9642857142857143,False,True,True,0.04702266,0.28674677,0.04175089999999999,approx,0.9642857142857143,,,
0.12673775625,0.9230769230769231,0.8681318681318682,0.9642857142857143,False,True,True,0.04702266,0.28674677,0.04175089999999999,approx,0.9642857142857143,,,
0.21678042249999996,0.9230769230769231,0.8681318681318682,0.9642857142857143,False,True,True,0.04702266,0.28674677,0.04175089999999999,approx,0.9642857142857143,,,
0.28674677,0.9230769230769231,0.8681318681318682,0.9642857142857143,True,True,True,0.04702266,0.28674677,0.04175089999999999,approx,0.9642857142857143,-0.05494505494505497,0.09615384615384615,-1.333333333333335
0.3068230887499999,0.9230769230769231,0.8681318681318682,0.9642857142857143,True,True,True,0.04702266,0.28674677,0.04175089999999999,approx,0.9642857142857143,-0.05494505494505497,0.09615384615384615,-1.333333333333335
0.39686575499999993,0.9230769230769231,0.8681318681318682,0.9642857142857143,True,True,True,0.04702266,0.28674677,0.04175089999999999,approx,0.9642857142857143,-0.05494505494505497,0.09615384615384615,-1.333333333333335
0.48690842124999995,0.9230769230769231,0.8681318681318682,0.9642857142857143,True,True,True,0.04702266,0.28674677,0.04175089999999999,approx,0.9642857142857143,-0.05494505494505497,0.09615384615384615,-1.333333333333335
0.5769510874999999,0.9230769230769231,0.8681318681318682,0.9642857142857143,True,True,True,0.04702266,0.28674677,0.04175089999999999,approx,0.9642857142857143,-0.05494505494505497,0.09615384615384615,-1.333333333333335
0.6669937537499999,0.9230769230769231,0.8681318681318682,0.9642857142857143,True,True,True,0.04702266,0.28674677,0.04175089999999999,approx,0.9642857142857143,-0.05494505494505497,0.09615384615384615,-1.333333333333335
0.7570364199999999,0.9230769230769231,0.8681318681318682,0.9642857142857143,True,True,True,0.04702266,0.28674677,0.04175089999999999,approx,0.9642857142857143,-0.05494505494505497,0.09615384615384615,-1.333333333333335
