query_id,dataset,selected_model,quality,realized_cost,input_tokens,output_tokens,latency_ms
gsm8k/100,ecologic_stage12,Qwen/Qwen3.5-9B,0.0,0.00411895,135,16384,192360.0
gsm8k/1000,ecologic_stage12,openai/gpt-oss-20b,1.0,8.995e-05,175,406,5770.0
gsm8k/1026,ecologic_stage12,Qwen/Qwen3.5-9B,1.0,0.0008776200000000001,111,3435,43310.0
gsm8k/1034,ecologic_stage12,openai/gpt-oss-20b,1.0,5.1250000000000006e-05,129,224,5230.0
gsm8k/1041,ecologic_stage12,Qwen/Qwen3.5-9B,1.0,0.0041129999999999995,100,16384,196940.0
gsm8k/1054,ecologic_stage12,openai/gpt-oss-20b,1.0,6.705e-05,145,299,3790.0
gsm8k/106,ecologic_stage12,openai/gpt-oss-20b,1.0,8.915e-05,139,411,4860.0
gsm8k/1062,ecologic_stage12,Qwen/Qwen3.5-9B,1.0,0.00046572,116,1784,31530.0
gsm8k/1074,ecologic_stage12,Qwen/Qwen3.5-9B,1.0,0.00032852,81,1259,14620.0
gsm8k/1080,ecologic_stage12,gpt-4o,1.0,0.0026075,67,244,1720.0
gsm8k/1108,ecologic_stage12,Qwen/Qwen3.5-9B,1.0,0.00019181,93,704,11770.0
gsm8k/1110,ecologic_stage12,openai/gpt-oss-20b,1.0,0.000107,168,493,6660.0
gsm8k/1115,ecologic_stage12,openai/gpt-oss-20b,1.0,7.48e-05,160,334,5010.0
gsm8k/1117,ecologic_stage12,Qwen/Qwen3.5-9B,1.0,0.00037541,73,1452,16570.0
gsm8k/1156,ecologic_stage12,Qwen/Qwen3.5-9B,1.0,0.00411385,105,16384,268880.0
gsm8k/1165,ecologic_stage12,openai/gpt-oss-20b,1.0,0.00013780000000000002,164,648,7440.0
gsm8k/1168,ecologic_stage12,Qwen/Qwen3.5-9B,1.0,0.00042689999999999997,95,1643,19690.0
gsm8k/1170,ecologic_stage12,Qwen/Qwen3.5-9B,1.0,0.00032486,108,1226,14660.0
gsm8k/1174,ecologic_stage12,Qwen/Qwen3.5-9B,1.0,0.00109881,118,4315,69510.0
gsm8k/1183,ecologic_stage12,Qwen/Qwen3.5-9B,1.0,0.00056385,155,2150,21870.0
gsm8k/1227,ecologic_stage12,Qwen/Qwen3.5-9B,1.0,0.00122232,96,4824,76230.0
gsm8k/1240,ecologic_stage12,openai/gpt-oss-20b,1.0,0.00010200000000000001,172,467,6620.0
gsm8k/1251,ecologic_stage12,openai/gpt-oss-20b,0.0,0.0005458,168,2687,33080.0
gsm8k/1260,ecologic_stage12,openai/gpt-oss-20b,1.0,5.3750000000000005e-05,175,225,3080.0
gsm8k/1269,ecologic_stage12,openai/gpt-oss-20b,1.0,8.13e-05,150,369,4660.0
gsm8k/1277,ecologic_stage12,Qwen/Qwen3.5-9B,1.0,0.00034251,78,1317,12750.0
gsm8k/1279,ecologic_stage12,openai/gpt-oss-20b,1.0,4.97e-05,170,206,2700.0
gsm8k/129,ecologic_stage12,openai/gpt-oss-20b,1.0,0.00010055,151,465,4970.0
gsm8k/1305,ecologic_stage12,Qwen/Qwen3.5-9B,1.0,0.00028639999999999997,95,1081,15720.0
gsm8k/134,ecologic_stage12,openai/gpt-oss-20b,1.0,3.825e-05,121,161,2040.0
gsm8k/185,ecologic_stage12,openai/gpt-oss-20b,1.0,3.57e-05,134,145,1740.0
gsm8k/186,ecologic_stage12,openai/gpt-oss-20b,1.0,0.00013690000000000002,206,633,7380.0
gsm8k/188,ecologic_stage12,openai/gpt-oss-20b,1.0,5.7e-05,160,245,3100.0
gsm8k/190,ecologic_stage12,openai/gpt-oss-20b,1.0,4.9449999999999996e-05,121,217,2580.0
gsm8k/196,ecologic_stage12,openai/gpt-oss-20b,1.0,4.005e-05,133,167,2090.0
gsm8k/20,ecologic_stage12,Qwen/Qwen3.5-9B,1.0,0.00096451,103,3788,39280.0
gsm8k/205,ecologic_stage12,openai/gpt-oss-20b,1.0,0.00022095000000000003,175,1061,11410.0
gsm8k/220,ecologic_stage12,Qwen/Qwen3.5-9B,1.0,0.00031288,89,1191,15270.0
gsm8k/225,ecologic_stage12,Qwen/Qwen3.5-9B,1.0,0.00048974,97,1893,22720.0
gsm8k/227,ecologic_stage12,openai/gpt-oss-20b,1.0,9.550000000000002e-05,202,427,4850.0
gsm8k/234,ecologic_stage12,Qwen/Qwen3.5-9B,0.0,0.00045714,92,1766,21090.0
