setting,parameter,parameter_value,router_advantage,cost_difference,quality_difference,significance,conclusion_changed
routing_budget,budget_mult_of_router_mean,0.75,,0.00019694146291208796,-0.05494505494505497,0.00536765 (p_adj<0.05); p_raw=0.005; dz=-0.1947,true
routing_budget,budget_mult_of_router_mean,1.0,-0.05494505494505497,0.0,-0.05494505494505497,0.00536765 (p_adj<0.05); p_raw=0.005; dz=-0.1947,false
routing_budget,budget_mult_of_router_mean,1.25,-0.05494505494505497,-0.00019694146291208796,-0.05494505494505497,0.00536765 (p_adj<0.05); p_raw=0.005; dz=-0.1947,false
routing_budget,budget_mult_of_router_mean,1.5,-0.05494505494505497,-0.0003938829258241757,-0.05494505494505497,0.00536765 (p_adj<0.05); p_raw=0.005; dz=-0.1947,false
routing_budget,budget_mult_of_router_mean,2.0,-0.05494505494505497,-0.0007877658516483516,-0.05494505494505497,0.00536765 (p_adj<0.05); p_raw=0.005; dz=-0.1947,false
random_seed,permutation_seed,20260909,-0.05494505494505497,0.000673065576923077,-0.05494505494505497,0.00536765 (p_adj<0.05); p_raw=0.005; dz=-0.1947,false
random_seed,permutation_seed,20260905,-0.05494505494505497,0.000673065576923077,-0.05494505494505497,0.00536765 (p_adj<0.05); p_raw=0.005; dz=-0.1947,false
random_seed,permutation_seed,1,-0.05494505494505497,0.000673065576923077,-0.05494505494505497,0.00536765 (p_adj<0.05); p_raw=0.005; dz=-0.1947,false
random_seed,permutation_seed,42,-0.05494505494505497,0.000673065576923077,-0.05494505494505497,0.00536765 (p_adj<0.05); p_raw=0.005; dz=-0.1947,false
random_seed,permutation_seed,12345,-0.05494505494505497,0.000673065576923077,-0.05494505494505497,0.00536765 (p_adj<0.05); p_raw=0.005; dz=-0.1947,false
random_seed,random_policy_seed,20260909,-0.05219780219780212,-7.479769230769233e-05,-0.05494505494505497,0.00536765 (p_adj<0.05); p_raw=0.005; dz=-0.1947,true
random_seed,random_policy_seed,20260905,-0.038461538461538436,-0.0002089619230769232,-0.05494505494505497,0.00536765 (p_adj<0.05); p_raw=0.005; dz=-0.1947,true
random_seed,random_policy_seed,1,-0.0219780219780219,-0.00019039989010989026,-0.05494505494505497,0.00536765 (p_adj<0.05); p_raw=0.005; dz=-0.1947,true
random_seed,random_policy_seed,42,-0.04395604395604391,-0.00018793582417582424,-0.05494505494505497,0.00536765 (p_adj<0.05); p_raw=0.005; dz=-0.1947,true
random_seed,random_policy_seed,12345,-0.02472527472527475,-0.00017917049450549458,-0.05494505494505497,0.00536765 (p_adj<0.05); p_raw=0.005; dz=-0.1947,true
bootstrap_resample,replicate,0,-0.07692307692307687,0.0007787284615384615,-0.07692307692307687,n/a (bootstrap sensitivity; not a test),false
bootstrap_resample,replicate,1,-0.07692307692307687,0.0006750495879120879,-0.07692307692307687,n/a (bootstrap sensitivity; not a test),false
bootstrap_resample,replicate,2,-0.059425302987623385,0.0006759353021978021,-0.05494505494505497,n/a (bootstrap sensitivity; not a test),false
bootstrap_resample,replicate,3,-0.06318681318681318,0.0006821005769230768,-0.06318681318681318,n/a (bootstrap sensitivity; not a test),false
bootstrap_resample,replicate,4,-0.030219780219780223,0.0005627804120879122,-0.030219780219780223,n/a (bootstrap sensitivity; not a test),false
bootstrap_resample,replicate,5,-0.03846153846153855,0.0006965601373626374,-0.03846153846153855,n/a (bootstrap sensitivity; not a test),false
bootstrap_resample,replicate,6,-0.0494505494505495,0.0006024857142857143,-0.0494505494505495,n/a (bootstrap sensitivity; not a test),false
bootstrap_resample,replicate,7,-0.05494505494505497,0.0005910500549450549,-0.05494505494505497,n/a (bootstrap sensitivity; not a test),false
bootstrap_resample,replicate,8,-0.08516483516483508,0.0007244695054945055,-0.08516483516483508,n/a (bootstrap sensitivity; not a test),false
bootstrap_resample,replicate,9,-0.04120879120879117,0.0007014051648351648,-0.04120879120879117,n/a (bootstrap sensitivity; not a test),false
bootstrap_resample,replicate,10,-0.07967032967032972,0.0006906144505494504,-0.07967032967032972,n/a (bootstrap sensitivity; not a test),false
bootstrap_resample,replicate,11,-0.05494505494505486,0.000590575054945055,-0.05494505494505486,n/a (bootstrap sensitivity; not a test),false
bootstrap_resample,replicate,12,-0.029907598886679154,0.0007383658241758242,-0.027472527472527486,n/a (bootstrap sensitivity; not a test),false
bootstrap_resample,replicate,13,-0.07692307692307687,0.0007033680219780218,-0.07692307692307687,n/a (bootstrap sensitivity; not a test),false
bootstrap_resample,replicate,14,-0.029200919567010986,0.0006482876648351651,-0.02197802197802201,n/a (bootstrap sensitivity; not a test),false
bootstrap_resample,replicate,15,-0.052197802197802234,0.0007260881043956043,-0.052197802197802234,n/a (bootstrap sensitivity; not a test),false
bootstrap_resample,replicate,16,-0.04395604395604391,0.0006643752472527472,-0.04395604395604391,n/a (bootstrap sensitivity; not a test),false
bootstrap_resample,replicate,17,-0.04395604395604391,0.0006854294230769231,-0.04395604395604391,n/a (bootstrap sensitivity; not a test),false
bootstrap_resample,replicate,18,-0.0333622967835574,0.0006423600824175824,-0.030219780219780223,n/a (bootstrap sensitivity; not a test),false
bootstrap_resample,replicate,19,-0.06318681318681318,0.0006829786538461539,-0.06318681318681318,n/a (bootstrap sensitivity; not a test),false
bootstrap_resample,replicate,20,-0.04395604395604391,0.0006134486263736263,-0.04395604395604391,n/a (bootstrap sensitivity; not a test),false
bootstrap_resample,replicate,21,-0.04892594609652934,0.0006092934890109889,-0.04670329670329665,n/a (bootstrap sensitivity; not a test),false
bootstrap_resample,replicate,22,-0.07417582417582425,0.0007026027472527473,-0.07417582417582425,n/a (bootstrap sensitivity; not a test),false
bootstrap_resample,replicate,23,-0.06318681318681318,0.0006805234065934066,-0.06318681318681318,n/a (bootstrap sensitivity; not a test),false
bootstrap_resample,replicate,24,-0.041208791208791284,0.0006192508516483517,-0.041208791208791284,n/a (bootstrap sensitivity; not a test),false
bootstrap_resample,replicate,25,-0.06868131868131866,0.0006933022527472526,-0.06868131868131866,n/a (bootstrap sensitivity; not a test),false
bootstrap_resample,replicate,26,-0.06318681318681318,0.0005972171703296702,-0.06318681318681318,n/a (bootstrap sensitivity; not a test),false
bootstrap_resample,replicate,27,-0.05793615373983507,0.000657113846153846,-0.05494505494505497,n/a (bootstrap sensitivity; not a test),false
bootstrap_resample,replicate,28,-0.04395604395604391,0.0006589722802197803,-0.04395604395604391,n/a (bootstrap sensitivity; not a test),false
bootstrap_resample,replicate,29,-0.052197802197802234,0.0005551776098901099,-0.052197802197802234,n/a (bootstrap sensitivity; not a test),false
bootstrap_resample,replicate,30,-0.03575274051156452,0.0005449374725274726,-0.027472527472527486,n/a (bootstrap sensitivity; not a test),false
bootstrap_resample,replicate,31,-0.04395604395604391,0.0006326808516483517,-0.04395604395604391,n/a (bootstrap sensitivity; not a test),false
bootstrap_resample,replicate,32,-0.05494505494505497,0.0005697947802197803,-0.05494505494505497,n/a (bootstrap sensitivity; not a test),false
bootstrap_resample,replicate,33,-0.05000430338768269,0.0006635380494505494,-0.04670329670329676,n/a (bootstrap sensitivity; not a test),false
bootstrap_resample,replicate,34,-0.0576923076923076,0.0006797046978021977,-0.0576923076923076,n/a (bootstrap sensitivity; not a test),false
bootstrap_resample,replicate,35,-0.05769230769230771,0.0006810488461538461,-0.05769230769230771,n/a (bootstrap sensitivity; not a test),false
bootstrap_resample,replicate,36,-0.06593406593406603,0.0007676587087912085,-0.06593406593406603,n/a (bootstrap sensitivity; not a test),false
bootstrap_resample,replicate,37,-0.04670329670329676,0.0007258287362637362,-0.04670329670329676,n/a (bootstrap sensitivity; not a test),false
bootstrap_resample,replicate,38,-0.03674899337369375,0.0006181443406593406,-0.0357142857142857,n/a (bootstrap sensitivity; not a test),false
bootstrap_resample,replicate,39,-0.0494505494505495,0.0006655800549450548,-0.0494505494505495,n/a (bootstrap sensitivity; not a test),false
bootstrap_resample,replicate,40,-0.038461538461538436,0.000565224945054945,-0.038461538461538436,n/a (bootstrap sensitivity; not a test),false
bootstrap_resample,replicate,41,-0.06318681318681318,0.0006341867307692307,-0.06318681318681318,n/a (bootstrap sensitivity; not a test),false
bootstrap_resample,replicate,42,-0.0714285714285714,0.0006217131043956044,-0.0714285714285714,n/a (bootstrap sensitivity; not a test),false
bootstrap_resample,replicate,43,-0.06593406593406592,0.0007063523076923075,-0.06593406593406592,n/a (bootstrap sensitivity; not a test),false
bootstrap_resample,replicate,44,-0.0494505494505495,0.000610861868131868,-0.0494505494505495,n/a (bootstrap sensitivity; not a test),false
bootstrap_resample,replicate,45,-0.09065934065934067,0.0006657620604395603,-0.09065934065934067,n/a (bootstrap sensitivity; not a test),false
bootstrap_resample,replicate,46,-0.05494505494505497,0.0006482963736263735,-0.05494505494505497,n/a (bootstrap sensitivity; not a test),false
bootstrap_resample,replicate,47,-0.06868131868131866,0.0007589394230769231,-0.06868131868131866,n/a (bootstrap sensitivity; not a test),false
bootstrap_resample,replicate,48,-0.05769230769230771,0.0006499835714285715,-0.05769230769230771,n/a (bootstrap sensitivity; not a test),false
bootstrap_resample,replicate,49,-0.05199968456149673,0.0005418428846153847,-0.0494505494505495,n/a (bootstrap sensitivity; not a test),false
drop_highest_cost,fraction,0.01,-0.047091412742382266,0.0006453997506925208,-0.047091412742382266,0.0105797 (p_adj<0.05); p_raw=0.01; dz=-0.1746,false
drop_highest_cost,fraction,0.05,-0.014450867052023142,0.0005114088439306357,-0.014450867052023142,0.287887 (p_adj>=0.05); p_raw=0.28; dz=-0.06947,false
drop_highest_cost,fraction,0.1,-0.009146341463414642,0.00032340728658536585,-0.009146341463414642,0.51 (p_adj>=0.05); p_raw=0.51; dz=-0.04993,false
drop_longest_output,fraction,0.01,-0.05817174515235457,0.0006448237396121882,-0.05817174515235457,0.00536765 (p_adj<0.05); p_raw=0.005; dz=-0.2094,false
drop_longest_output,fraction,0.05,-0.037572254335260014,0.000513330289017341,-0.037572254335260014,0.0156429 (p_adj<0.05); p_raw=0.015; dz=-0.1541,false
drop_longest_output,fraction,0.1,-0.009146341463414642,0.00032340728658536585,-0.009146341463414642,0.51 (p_adj>=0.05); p_raw=0.51; dz=-0.04993,false
static_baseline_mixture,mixture,always_Qwen/Qwen3.5-9B,-0.008241758241758212,-0.00013044695054945077,-0.05494505494505497,0.00536765 (p_adj<0.05); p_raw=0.005; dz=-0.1947,true
static_baseline_mixture,mixture,always_t1,-0.008241758241758212,-0.00013044695054945077,-0.05494505494505497,0.00536765 (p_adj<0.05); p_raw=0.005; dz=-0.1947,true
static_baseline_mixture,mixture,always_openai/gpt-oss-20b,-0.05494505494505497,0.000673065576923077,-0.05494505494505497,0.00536765 (p_adj<0.05); p_raw=0.005; dz=-0.1947,false
static_baseline_mixture,mixture,always_t2,-0.05494505494505497,0.000673065576923077,-0.05494505494505497,0.00536765 (p_adj<0.05); p_raw=0.005; dz=-0.1947,false
static_baseline_mixture,mixture,always_gpt-4o,-0.04670329670329665,-0.0009611215109890125,-0.05494505494505497,0.00536765 (p_adj<0.05); p_raw=0.005; dz=-0.1947,true
static_baseline_mixture,mixture,always_t3,-0.04670329670329665,-0.0009611215109890125,-0.05494505494505497,0.00536765 (p_adj<0.05); p_raw=0.005; dz=-0.1947,true
static_baseline_mixture,mixture,uniform,-0.0366300366300365,-0.000139500961538462,-0.05494505494505497,0.00536765 (p_adj<0.05); p_raw=0.005; dz=-0.1947,true
static_baseline_mixture,mixture,always_cheapest,-0.05494505494505497,0.000673065576923077,-0.05494505494505497,0.00536765 (p_adj<0.05); p_raw=0.005; dz=-0.1947,false
static_baseline_mixture,mixture,always_most_expensive,-0.04670329670329665,-0.0009611215109890125,-0.05494505494505497,0.00536765 (p_adj<0.05); p_raw=0.005; dz=-0.1947,true
static_baseline_mixture,mixture,uniform_mixture,-0.0366300366300365,-0.000139500961538462,-0.05494505494505497,0.00536765 (p_adj<0.05); p_raw=0.005; dz=-0.1947,true
static_baseline_mixture,mixture,pairwise_50_Qwen/Qwen3.5_openai/gpt-o,-0.03159340659340659,0.00027130931318681303,-0.05494505494505497,0.00536765 (p_adj<0.05); p_raw=0.005; dz=-0.1947,false
static_baseline_mixture,mixture,pairwise_50_t2_t3,-0.050824175824175866,-0.00014402796703296783,-0.05494505494505497,0.00536765 (p_adj<0.05); p_raw=0.005; dz=-0.1947,true
static_baseline_mixture,mixture,pairwise_50_t1_t3,-0.027472527472527375,-0.0005457842307692317,-0.05494505494505497,0.00536765 (p_adj<0.05); p_raw=0.005; dz=-0.1947,true
static_baseline_mixture,mixture,cost_matched_hull,-0.05494505494505497,0.000673065576923077,-0.05494505494505497,0.00536765 (p_adj<0.05); p_raw=0.005; dz=-0.1947,false
