setting,parameter,parameter_value,router_advantage,cost_difference,quality_difference,significance,conclusion_changed,status,n,p_raw,p_adjusted,effect_size,router_quality,router_cost,claim_reversed
baseline,none,committed_usd,-0.05494505494505497,0.000673065576923077,-0.05494505494505497,0.00536765 (p_adj<0.05); p_raw=0.005; dz=-0.1947,false,dominated,364,0.005,0.005367647058823529,-0.194726360333802,0.8681318681318682,0.0007877658516483516,false
model_pricing,usd_scale,t1_x0.5,-0.05494505494505497,0.0002991173351648351,-0.05494505494505497,0.00536765 (p_adj<0.05); p_raw=0.005; dz=-0.1947,false,dominated,364,0.005,0.005367647058823529,-0.194726360333802,0.8681318681318682,0.0004138176098901098,false
model_pricing,usd_scale,t1_x2,-0.05494505494505497,0.0014209620604395603,-0.05494505494505497,0.00536765 (p_adj<0.05); p_raw=0.005; dz=-0.1947,false,dominated,364,0.005,0.005367647058823529,-0.194726360333802,0.8681318681318682,0.001535662335164835,false
model_pricing,usd_scale,t2_x0.5,-0.05494505494505497,0.0007179844642857142,-0.05494505494505497,0.00536765 (p_adj<0.05); p_raw=0.005; dz=-0.1947,false,dominated,364,0.005,0.005367647058823529,-0.194726360333802,0.8681318681318682,0.0007753346016483516,false
model_pricing,usd_scale,t2_x2,-0.05494505494505497,0.0005832278021978022,-0.05494505494505497,0.00536765 (p_adj<0.05); p_raw=0.005; dz=-0.1947,false,dominated,364,0.005,0.005367647058823529,-0.194726360333802,0.8681318681318682,0.0008126283516483515,false
model_pricing,usd_scale,t2_x10,-0.02729042662608583,9.331554945054914e-05,-0.05494505494505497,0.00536765 (p_adj<0.05); p_raw=0.005; dz=-0.1947,false,dominated,364,0.005,0.005367647058823529,-0.194726360333802,0.8681318681318682,0.0010115283516483515,false
model_pricing,usd_scale,t2_x50,-0.047234964208746844,0.001087815549450549,-0.05494505494505497,0.00536765 (p_adj<0.05); p_raw=0.005; dz=-0.1947,false,dominated,364,0.005,0.005367647058823529,-0.194726360333802,0.8681318681318682,0.0020060283516483515,false
model_pricing,usd_scale,t3_x0.5,-0.05494505494505497,0.0006655621428571429,-0.05494505494505497,0.00536765 (p_adj<0.05); p_raw=0.005; dz=-0.1947,false,dominated,364,0.005,0.005367647058823529,-0.194726360333802,0.8681318681318682,0.0007802624175824175,false
model_pricing,usd_scale,t3_x2,-0.05494505494505497,0.000688072445054945,-0.05494505494505497,0.00536765 (p_adj<0.05); p_raw=0.005; dz=-0.1947,false,dominated,364,0.005,0.005367647058823529,-0.194726360333802,0.8681318681318682,0.0008027727197802197,false
model_pricing,usd_source,stored_usd,-0.05494505494505497,0.000673065576923077,-0.05494505494505497,0.00536765 (p_adj<0.05); p_raw=0.005; dz=-0.1947,false,dominated,364,0.005,0.005367647058823529,-0.194726360333802,0.8681318681318682,0.0007877658516483516,false
