variant,n,quality,realized_cost,naive_cost,strong_model_routing_rate,quality_at_matched_cost,cost_at_matched_quality,router_vs_static_advantage,oracle_gap,oracle_gap_cost,latency_mean_s,delta_quality,delta_cost,delta_regret,delta_quality_ci_lo,delta_quality_ci_hi,delta_cost_ci_lo,delta_cost_ci_hi,delta_regret_ci_lo,delta_regret_ci_hi,p_raw_quality,p_adjusted_quality,p_raw_cost,p_adjusted_cost,p_raw_regret,p_adjusted_regret,effect_size_quality_dz,effect_size_quality_cliff,degenerate_identical_to_full,note
full,91,0.8021978021978022,0.0010704284615384615,0.0009861691631445478,0.0,0.9077427489717176,0.0001130087912087912,-0.10554494677391535,0.15384615384615385,0.0009620858241758242,49.39736263736263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,1.0,,1.0,,0.0,0.0,False,"Production EcoLogic decision list, all production families on."
no_semantic,91,0.8021978021978022,0.0010704284615384615,0.0009861691631445478,0.0,0.9077427489717176,0.0001130087912087912,-0.10554494677391535,0.15384615384615385,0.0009620858241758242,49.39736263736263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,True,Semantic features are not present in production; identical to full.
no_complexity,91,0.8131868131868132,0.0012083115384615385,0.0011802048013524937,0.0,0.9086995646876486,0.0001130087912087912,-0.09551275150083538,0.1428571428571429,0.001099968901098901,55.55879120879121,0.01098901098901099,0.0001378830769230769,0.0001378830769230769,0.0,0.03296703296703297,5.2448486263736264e-05,0.0002609883983516482,5.2448486263736264e-05,0.0002609883983516482,1.0,1.0,0.005,0.01,0.005,0.01,0.10482848367219187,0.01098901098901099,False,Production list with complexity rules gated off.
no_length,91,0.8021978021978022,0.0010704284615384615,0.0009861691631445478,0.0,0.9077427489717176,0.0001130087912087912,-0.10554494677391535,0.15384615384615385,0.0009620858241758242,49.39736263736263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,False,Production list with length heuristics gated off.
no_lexical,91,0.8021978021978022,0.0010774973626373626,0.001010423617920541,0.0,0.9077918023857894,0.0001130087912087912,-0.10559400018798715,0.15384615384615385,0.0009691547252747252,49.68428571428571,0.0,7.068901098901098e-06,7.068901098901098e-06,0.0,0.0,0.0,1.9061868131868133e-05,0.0,1.9061868131868133e-05,1.0,1.0,0.47,0.6363636363636364,0.47,0.6363636363636364,0.0,0.0,False,Production list with closed lexicons gated off.
no_confidence,91,0.8021978021978022,0.0010704284615384615,0.0009861691631445478,0.0,0.9077427489717176,0.0001130087912087912,-0.10554494677391535,0.15384615384615385,0.0009620858241758242,49.39736263736263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,True,Confidence features are not present; identical to full.
single_strongest_family,91,0.8131868131868132,0.0012083115384615385,0.0011802048013524937,0.0,0.9086995646876486,0.0001130087912087912,-0.09551275150083538,0.1428571428571429,0.001099968901098901,55.55879120879121,0.01098901098901099,0.0001378830769230769,0.0001378830769230769,0.0,0.03296703296703297,5.2448486263736264e-05,0.0002609883983516482,5.2448486263736264e-05,0.0002609883983516482,1.0,1.0,0.005,0.01,0.005,0.01,0.10482848367219187,0.01098901098901099,False,"Production list using only 'lexical', selected on validation accuracy."
threshold_only,91,0.9010989010989011,0.00011300879120879122,0.00011300879120879122,0.0,0.9010989010989011,0.0001130087912087912,0.0,0.05494505494505497,4.6661538461538466e-06,6.255824175824175,0.0989010989010989,-0.0009574196703296703,-0.0009574196703296703,0.03296703296703297,0.17582417582417584,-0.0012454489560439557,-0.0006747429285714285,-0.0012454489560439557,-0.0006747429285714285,0.035,0.098,0.005,0.01,0.005,0.01,0.26962010329298297,0.0989010989010989,False,Length threshold (log n_words) cheap vs strong; tau from validation.
logistic,91,0.9010989010989011,0.00011300879120879122,0.00011300879120879122,0.0,0.9010989010989011,0.0001130087912087912,0.0,0.05494505494505497,4.6661538461538466e-06,6.255824175824175,0.0989010989010989,-0.0009574196703296703,-0.0009574196703296703,0.03296703296703297,0.17582417582417584,-0.0012454489560439557,-0.0006747429285714285,-0.0012454489560439557,-0.0006747429285714285,0.035,0.098,0.005,0.01,0.005,0.01,0.26962010329298297,0.0989010989010989,False,Multinomial logistic on train-only TF-IDF + dense families; C from validation. Target = train oracle.
tree,91,0.8901098901098901,0.0001619945054945055,0.00013726324598478445,0.0,0.9014388289735222,0.0001130087912087912,-0.011328938863632176,0.06593406593406603,5.3651868131868115e-05,8.213296703296702,0.08791208791208792,-0.000908433956043956,-0.000908433956043956,0.02197802197802198,0.15384615384615385,-0.001190932162087912,-0.0006288945,-0.001190932162087912,-0.0006288945,0.06,0.13999999999999999,0.005,0.01,0.005,0.01,0.2481384060893429,0.08791208791208792,False,Shallow decision tree on the same train-only features; depth from validation. Target = train oracle.
