w_humaneval,w_mmlu,w_gsm8k,ecologic,always_t2,frontier,t2_cheaper_than_eco
0.0,0.0,1.0,1.7544500000000003,0.9724050000000001,22.953599999999998,True
0.0,0.2,0.8,1.7256900000000004,0.9305730000000001,20.11392,True
0.0,0.4,0.6,1.69693,0.8887410000000002,17.27424,True
0.0,0.6,0.4,1.66817,0.8469090000000002,14.434560000000001,True
0.0,0.8,0.2,1.63941,0.8050770000000004,11.594880000000003,True
0.0,1.0,0.0,1.6106499999999997,0.7632450000000004,8.755200000000002,True
0.2,0.0,0.8,1.8333685365853662,1.0465758292682927,21.89336780487805,True
0.2,0.2,0.6,1.804608536585366,1.0047438292682926,19.053687804878045,True
0.2,0.4,0.4,1.7758485365853658,0.9629118292682928,16.21400780487805,True
0.2,0.6,0.2,1.7470885365853657,0.9210798292682928,13.37432780487805,True
0.2,0.8,0.0,1.7183285365853658,0.879247829268293,10.534647804878052,True
0.4,0.0,0.6,1.9122870731707318,1.1207466585365853,20.833135609756095,True
0.4,0.2,0.4,1.8835270731707316,1.0789146585365854,17.993455609756097,True
0.4,0.4,0.2,1.8547670731707318,1.0370826585365855,15.1537756097561,True
0.4,0.6,0.0,1.8260070731707314,0.9952506585365855,12.314095609756098,True
0.6,0.0,0.4,1.9912056097560975,1.194917487804878,19.772903414634147,True
0.6,0.2,0.2,1.9624456097560976,1.1530854878048782,16.93322341463415,True
0.6,0.4,0.0,1.9336856097560973,1.111253487804878,14.093543414634148,True
0.8,0.0,0.2,2.0701241463414632,1.2690883170731704,18.712671219512195,True
0.8,0.2,0.0,2.041364146341463,1.2272563170731705,15.872991219512198,True
1.0,0.0,0.0,2.149042682926829,1.3432591463414632,17.652439024390244,True
