policy,accuracy,ci_lo,ci_hi,correct,n,energy_J,tokens,usd,vs_frontier_J,t1,t2,t3
EcoLogic,0.8681318681318682,0.8294978419728918,0.8990769110177377,316,364,688.9530000000004,1161679,0.28674677,0.11357840906842884,274,87,3
Always-T2,0.9230769230769231,0.8910714268121867,0.9462458266248055,336,364,393.8594999999998,262573,0.04175089999999999,0.06493031513976541,0,364,0
Always-T1,0.8763736263736264,0.8385771401308861,0.9063089879266977,319,364,677.0930000000004,1354186,0.3342294600000001,0.11162321048223854,364,0,0
Always-frontier,0.9148351648351648,0.8816512473468021,0.9393546310232355,333,364,6065.879999999994,101098,0.6365950000000006,1.0,0,0,364
Random,0.9065934065934066,0.8723075660077286,0.9323869372953546,330,364,2556.3340000000017,579165,0.36280891000000015,0.42142838302109575,125,107,132
Oracle,0.9642857142857143,0.939862539913721,0.9790115888580431,351,364,385.52149999999995,295402,0.07024579999999996,0.06355574129392608,160,194,10
