m1,m2,m3,eco_J,t1_J,t2_J,frontier_J,oracle_J,savings_vs_frontier_pct,savings_vs_t2_pct,eco_gt_t2,eco_gt_frontier
0.2,0.2,0.2,137.79060000000013,135.41860000000003,78.77190000000006,1213.1760000000017,77.10430000000001,88.64215909315713,-74.92354507127546,True,False
0.2,0.2,1.0,177.0065999999999,135.41860000000003,78.77190000000006,6065.879999999994,153.73889999999992,97.08193040416229,-124.70779554638112,True,False
0.2,0.2,5.0,373.08660000000026,135.41860000000003,78.77190000000006,30329.399999999998,521.6589,98.76988466636332,-373.6290479219112,True,False
0.2,1.0,0.2,209.1929999999998,135.41860000000003,393.8594999999998,1213.1760000000017,135.4128,82.7565827217156,46.8863896897244,False,False
0.2,1.0,1.0,248.40899999999985,135.41860000000003,393.8594999999998,6065.879999999994,223.57169999999994,95.90481512987398,36.9295395947032,False,False
0.2,1.0,5.0,444.4890000000004,135.41860000000003,393.8594999999998,30329.399999999998,602.4972,98.53446161150566,-12.85471088040293,True,False
0.2,5.0,0.2,566.205,135.41860000000003,1969.2975,1213.1760000000017,217.5446999999998,53.32870086450777,71.24837664192434,False,False
0.2,5.0,1.0,605.4210000000002,135.41860000000003,1969.2975,6065.879999999994,364.8789000000003,90.0192387584324,69.25700662292009,False,False
0.2,5.0,5.0,801.501,135.41860000000003,1969.2975,30329.399999999998,800.0738999999996,97.35734633721735,59.300156527898906,False,False
1.0,0.2,0.2,578.3346000000001,677.0930000000004,78.77190000000006,1213.1760000000017,97.44430000000004,52.32887890957294,-634.188968401168,True,False
1.0,0.2,1.0,617.5506000000005,677.0930000000004,78.77190000000006,6065.879999999994,178.027,89.81927436744543,-683.9732188762745,True,False
1.0,0.2,5.0,813.6306000000002,677.0930000000004,78.77190000000006,30329.399999999998,549.3199999999999,97.31735345901996,-932.8944712518037,True,False
1.0,1.0,0.2,649.7370000000006,677.0930000000004,393.8594999999998,1213.1760000000017,286.202,46.443302538131334,-64.96669497625447,True,False
1.0,1.0,1.0,688.9530000000004,677.0930000000004,393.8594999999998,6065.879999999994,385.52149999999995,88.64215909315712,-74.92354507127561,True,False
1.0,1.0,5.0,885.0330000000002,677.0930000000004,393.8594999999998,30329.399999999998,768.6945,97.08193040416229,-124.70779554638156,True,False
1.0,5.0,0.2,1006.7490000000005,677.0930000000004,1969.2975,1213.1760000000017,496.5249999999997,17.015420680923544,48.8777597087286,False,False
1.0,5.0,1.0,1045.9650000000001,677.0930000000004,1969.2975,6065.879999999994,677.0640000000003,82.75658272171555,46.886389689724375,False,False
1.0,5.0,5.0,1242.0450000000003,677.0930000000004,1969.2975,30329.399999999998,1117.8585000000005,95.90481512987398,36.929539594703165,False,False
5.0,0.2,0.2,2781.054600000001,3385.465,78.77190000000006,1213.1760000000017,114.04450000000004,-129.23752200834807,-3430.516085050632,True,True
5.0,0.2,1.0,2820.2706000000017,3385.465,78.77190000000006,6065.879999999994,215.1696999999999,53.50599418386113,-3480.300335525739,True,False
5.0,0.2,5.0,3016.3506000000007,3385.465,78.77190000000006,30329.399999999998,603.0697,90.05469742230311,-3729.2215879012674,True,False
5.0,1.0,0.2,2852.4570000000012,3385.465,393.8594999999998,1213.1760000000017,366.67999999999967,-135.12309837978967,-624.232118306148,True,True
5.0,1.0,1.0,2891.6730000000007,3385.465,393.8594999999998,6065.879999999994,487.2214999999998,52.32887890957283,-634.188968401169,True,False
5.0,1.0,5.0,3087.753000000001,3385.465,393.8594999999998,30329.399999999998,890.1350000000001,89.81927436744544,-683.973218876275,True,False
5.0,5.0,0.2,3209.469000000001,3385.465,1969.2975,1213.1760000000017,1038.1005000000002,-164.55098023699745,-62.975324957250045,True,True
5.0,5.0,1.0,3248.6850000000013,3385.465,1969.2975,6065.879999999994,1431.0099999999995,46.443302538131235,-64.96669497625429,True,False
5.0,5.0,5.0,3444.765000000001,3385.465,1969.2975,30329.399999999998,1927.6074999999994,88.64215909315713,-74.92354507127546,True,False
