SIMULATED,policy,policy_type,factor,factor_value,arrivals_process,n_completed,throughput_per_s,queue_delay_mean_s,end_to_end_mean_s,p50_latency_s,p95_latency_s,p99_latency_s,cold_start_count,cold_start_rate,requests_per_instance_mean,cost_per_request,total_realized_inference_cost,sla_violation_rate
True,always_cheap,always_cheap,baseline,,poisson,64,0.21641637351181517,25.770101749830282,33.56307049983028,31.133549501174542,54.83753177313726,77.24013843727037,2,0.03125,32.0,0.00013559375,0.008678,0.5
True,always_strong,always_strong,baseline,,poisson,64,0.38881658138711817,0.231673108796912,1.7963606087969124,1.0499999999999972,4.956776508675134,5.349999999999994,10,0.15625,6.4,0.00168234375,0.10767,0.0
True,ecologic,ecologic,baseline,,poisson,64,0.049381584945821864,381.4223488524885,423.1715676024885,371.116662409283,1098.09087159121,1109.7692044750975,11,0.171875,5.818181818181818,0.000865536875,0.05539436,0.765625
True,cost_matched_static,cost_matched_static,baseline,,poisson,64,0.2322153574648269,1.2441380703112963,6.956794320311295,5.029999999999999,12.922782962663774,15.497441628068486,17,0.265625,3.764705882352941,0.00064416171875,0.04122635,0.015625
True,oracle,oracle,baseline,,poisson,64,0.3014364330470337,8.408352596557158,14.648977596557158,11.69029769941282,35.014177701095306,37.17804329212312,8,0.125,8.0,0.00014296421875,0.00914971,0.125
True,always_cheap,always_cheap,arrivals.rate_per_s,0.2,poisson,64,0.14827738465273924,2.5499423396018615,10.811661089601857,7.1542506021339705,20.24913108007911,75.59717141561967,12,0.1875,5.333333333333333,0.00013559375,0.008678,0.03125
True,always_strong,always_strong,arrivals.rate_per_s,0.2,poisson,64,0.1946684762078255,0.08159502624947829,2.0212825262494793,1.5699999999999932,5.02,5.27000000000001,18,0.28125,3.5555555555555554,0.00168234375,0.10767,0.0
True,ecologic,ecologic,arrivals.rate_per_s,0.2,poisson,64,0.04930987855872216,312.94050611454657,354.7365998645465,312.561430277487,939.9358634132561,947.5134089501951,12,0.1875,5.333333333333333,0.000865536875,0.05539436,0.765625
True,cost_matched_static,cost_matched_static,arrivals.rate_per_s,0.2,poisson,64,0.14827738465273924,0.26560997568276234,6.493891225682758,4.539999999999999,10.23,13.294883256136927,28,0.4375,2.2857142857142856,0.00064416171875,0.04122635,0.015625
True,oracle,oracle,arrivals.rate_per_s,0.2,poisson,64,0.17080172536947752,1.8770671844643212,8.680192184464318,6.659999999999997,20.24913108007911,24.869999999999997,20,0.3125,3.2,0.00014296421875,0.00914971,0.015625
True,always_cheap,always_cheap,arrivals.rate_per_s,0.8,poisson,64,0.21715665194677833,67.10768286351731,74.90065161351731,87.56008177364242,111.35579829644529,123.84632587281848,2,0.03125,32.0,0.00013559375,0.008678,0.859375
True,always_strong,always_strong,arrivals.rate_per_s,0.8,poisson,64,0.7755187799671713,0.5561937710011255,1.8396312710011256,1.4699999999999989,4.600866919253617,5.170069218635188,4,0.0625,16.0,0.00168234375,0.10767,0.0
True,ecologic,ecologic,arrivals.rate_per_s,0.8,poisson,64,0.049416532856343766,415.7711223281375,457.3797160781375,400.3265411421971,1175.0621594308748,1190.8713258728185,8,0.125,8.0,0.000865536875,0.05539436,0.765625
True,cost_matched_static,cost_matched_static,arrivals.rate_per_s,0.8,poisson,64,0.3113626192893693,4.032923613849606,9.323704863849606,6.470000000000001,18.62704644036633,22.356391481331883,8,0.125,8.0,0.00064416171875,0.04122635,0.015625
