rule,tau,accuracy,energy_J,energy_frac_of_frontier,n_tier1,n_tier2,n_tier3,within_budget
index_ordered,0.285714,0.9193333333333333,3457.3729,0.14641436564274055,1395,39,66,False
index_ordered,0.306122,0.9186666666666666,3690.3988,0.15628265012163745,1358,56,86,False
index_ordered,0.326531,0.9193333333333333,3862.27425,0.1635613081400741,1322,76,102,False
index_ordered,0.346939,0.9166666666666666,4085.8285,0.1730284829711398,1285,87,128,False
index_ordered,0.367347,0.916,4267.3791,0.18071686854593821,1244,98,158,False
index_ordered,0.387755,0.916,4598.9477,0.19475828312289967,1211,87,202,False
index_ordered,0.408163,0.9106666666666666,4942.10085,0.20929028537685332,1169,82,249,False
index_ordered,0.428571,0.9106666666666666,5278.7668,0.2235475647992612,1126,80,294,False
index_ordered,0.44898,0.9093333333333333,5527.0675,0.23406271330382325,1091,72,337,False
index_ordered,0.469388,0.9126666666666666,5853.45275,0.24788462106907974,1050,61,389,False
index_ordered,0.489796,0.9126666666666666,6087.46595,0.2577947161675945,1019,55,426,False
index_ordered,0.510204,0.9133333333333333,6486.4987,0.27469313258137745,974,50,476,False
index_ordered,0.530612,0.9153333333333333,6710.16255,0.2841649488020006,930,54,516,False
index_ordered,0.55102,0.914,6980.16265,0.29559903315112496,897,50,553,False
index_ordered,0.571429,0.9146666666666666,7250.09505,0.3070302505105317,867,45,588,False
index_ordered,0.591837,0.9146666666666666,7731.86935,0.3274326428927579,833,42,625,False
index_ordered,0.612245,0.916,8228.22235,0.34845242054817693,787,47,666,False
index_ordered,0.632653,0.916,8687.98855,0.3679228041209103,745,62,693,False
index_ordered,0.653061,0.9146666666666666,9392.1829,0.39774433972803325,696,67,737,False
index_ordered,0.673469,0.914,10258.4886,0.4344310389030601,638,82,780,False
index_ordered,0.693878,0.914,11196.77395,0.4741659643177086,574,99,827,False
index_ordered,0.714286,0.914,12324.773149999999,0.5219349762497216,516,95,889,False
index_ordered,0.734694,0.9126666666666666,13776.429,0.5834103439803253,444,83,973,False
index_ordered,0.755102,0.91,15508.92705,0.6567789421341533,372,55,1073,False
index_ordered,0.77551,0.9113333333333333,17474.8428,0.7400324168875773,291,28,1181,False
index_ordered,0.795918,0.908,19292.1747,0.8169935966610453,203,18,1279,False
index_ordered,0.816327,0.9073333333333333,20771.50125,0.8796407755050498,136,9,1355,False
index_ordered,0.836735,0.9066666666666666,21997.1951,0.9315470039364574,82,3,1415,False
index_ordered,0.857143,0.906,22730.8846,0.9626176132772201,46,1,1453,False
index_ordered,0.877551,0.906,23233.3056,0.9838943612960962,21,1,1478,False
index_ordered,0.897959,0.906,23514.2801,0.9957931944185766,5,2,1493,False
index_ordered,0.918367,0.906,23522.5996,0.9961455123056536,4,2,1494,False
index_ordered,0.938776,0.906,23533.2352,0.9965959134258884,4,0,1496,False
index_ordered,0.959184,0.906,23558.38155,0.9976608222424873,3,0,1497,False
index_ordered,0.979592,0.906,23576.1867,0.9984148426556235,2,0,1498,False
index_ordered,1.0,0.906,23613.618,1.0,0,0,1500,False
