shot,router,n_train,rep,mean_auc,gain_pp,rho,router_cost,budget
0shot,minilm_logreg,250,0,0.6454224522364396,-2.912794545906794,-0.1460121566521714,0.0016749564734895197,0.0016749564734895197
0shot,minilm_mlp,250,0,0.5479718334077774,-9.322146504412544,-0.467299253100267,0.001454073116865324,0.0016749564734895197
0shot,minilm_logreg,250,1,0.6497555501500436,0.5531788826267814,0.02772967347809615,0.0016749564734895197,0.0016749564734895197
0shot,minilm_mlp,250,1,0.5588143141562587,-8.382976755131821,-0.4202206835706517,0.001440595083162077,0.0016749564734895197
0shot,minilm_logreg,250,2,0.6552436321948032,0.06449865381830122,0.0032331794765291773,0.0016749564734895197,0.0016749564734895197
0shot,minilm_mlp,250,2,0.5570322869119191,-10.455863451939596,-0.5241300573099775,0.0013112534643101794,0.0016749564734895197
0shot,minilm_logreg,250,3,0.6512307328846245,0.05648998649909753,0.0028317221238882426,0.0016749564734895197,0.0016749564734895197
0shot,minilm_mlp,250,3,0.5541877177055788,-10.655890852953442,-0.5341570028261324,0.0011554427636662555,0.0016749564734895197
0shot,minilm_logreg,500,0,0.6662632359517456,3.1288741833529032,0.1568437664258376,0.0016749564734895197,0.0016749564734895197
0shot,minilm_mlp,500,0,0.5631330920529328,-9.389278988314453,-0.4706644608419904,0.0012486174878750512,0.0016749564734895197
0shot,minilm_logreg,500,1,0.6708455433788353,4.77499008964144,0.23936003380706744,0.0016749564734895197,0.0016749564734895197
0shot,minilm_mlp,500,1,0.5573119672675885,-6.77453724286986,-0.3395930531873275,0.0016191275539114947,0.0016749564734895197
0shot,minilm_logreg,500,2,0.6621502943781866,0.2826176151941584,0.01416701619425272,0.0016749564734895197,0.0016749564734895197
0shot,minilm_mlp,500,2,0.5785297102234,-8.265152395630516,-0.41431440059538244,0.0015768695421290587,0.0016749564734895197
0shot,minilm_logreg,500,3,0.6618619807218054,0.14178044557950908,0.007107150299790616,0.0016749564734895197,0.0016749564734895197
0shot,minilm_mlp,500,3,0.5761735100238197,-9.707815774175533,-0.4866320281879213,0.0013451244438964242,0.0016749564734895197
0shot,minilm_logreg,1000,0,0.6765964315641922,1.9554257657614538,0.09802130865469898,0.0016749564734895197,0.0016749564734895197
0shot,minilm_mlp,1000,0,0.5702033221844979,-7.212953464270056,-0.3615699200720497,0.0012402266880394573,0.0016749564734895197
0shot,minilm_logreg,1000,1,0.6716667342391653,0.8210237928884645,0.041156165590481165,0.0016749564734895197,0.0016749564734895197
0shot,minilm_mlp,1000,1,0.5731457301917101,-5.24419062004482,-0.262880052217845,0.0014892685918618989,0.0016749564734895197
0shot,minilm_logreg,1000,2,0.6625016996597025,-0.16267260387823335,-0.00815442948211469,0.0016749564734895197,0.0016749564734895197
0shot,minilm_mlp,1000,2,0.5710287988501755,-8.338450107645867,-0.41798865802767227,0.0013619080147965474,0.0016749564734895197
0shot,minilm_logreg,2000,0,0.6870506183211514,0.6894989264684015,0.034563105525064294,0.0016749564734895197,0.0016749564734895197
0shot,minilm_mlp,2000,0,0.5920269697433039,-4.745492168202114,-0.23788136613647437,0.0016209085255514456,0.0016749564734895197
0shot,minilm_logreg,2000,1,0.6843158336808748,0.13188829487503773,0.006611277956058763,0.0016749564734895197,0.0016749564734895197
0shot,minilm_mlp,2000,1,0.5920579867610147,-4.443813433965227,-0.22275885683902846,0.0016749564734895197,0.0016749564734895197
0shot,minilm_logreg,2000,2,0.6829682859835687,1.9287097772698658,0.09668209332891053,0.0016749564734895197,0.0016749564734895197
0shot,minilm_mlp,2000,2,0.5991986127787835,-5.4880596431986834,-0.275104684422472,0.0015614649606795453,0.0016749564734895197
0shot,minilm_logreg,4000,0,0.6895437631840219,0.9758395210703985,0.04891674670914818,0.0016749564734895197,0.0016749564734895197
0shot,minilm_mlp,4000,0,0.6071802278698459,-3.1891145822314226,-0.15986348869571074,0.0016749564734895197,0.0016749564734895197
0shot,minilm_logreg,4000,1,0.6918164645053466,1.702651413110401,0.08535027134147621,0.0016749564734895197,0.0016749564734895197
0shot,minilm_mlp,4000,1,0.6161354171916034,-3.599205062968913,-0.1804204468234821,0.0016749564734895197,0.0016749564734895197
0shot,minilm_logreg,8000,0,0.6989876310115589,1.7925979633581224,0.08985909940267547,0.0016749564734895197,0.0016749564734895197
0shot,minilm_mlp,8000,0,0.6293413126202971,-1.3087200076321692,-0.06560333307295813,0.0016723334966433758,0.0016749564734895197
0shot,minilm_logreg,8000,1,0.6973561723933265,1.1545533098908822,0.0578752864612322,0.0016749564734895197,0.0016749564734895197
0shot,minilm_mlp,8000,1,0.6342366973418663,-0.646225595892691,-0.032393906076458895,0.0016749564734895197,0.0016749564734895197
0shot,minilm_logreg,16000,0,0.7030606463703853,1.7300524269479145,0.08672382552177142,0.0016749564734895197,0.0016749564734895197
0shot,minilm_mlp,16000,0,0.6398589639122251,0.5579127831730535,0.027966973781033546,0.0016749564734895197,0.0016749564734895197
0shot,minilm_logreg,29000,0,0.708105149295633,2.102021189792136,0.10536982351927754,0.0016749564734895197,0.0016749564734895197
0shot,minilm_mlp,29000,0,0.6611954797479241,1.9081590168917306,0.09565192769368913,0.0016749564734895197,0.0016749564734895197
