tier,benchmark,n,completion_mean,latency_mean_s,pearson_r
1,humaneval,164,3879.878048780488,44.730426829268296,0.9903641304881368
1,mmlu,100,3328.26,40.17229999999999,0.9977017587292266
1,gsm8k,100,3310.97,41.070699999999995,0.9849294358262919
2,humaneval,164,668.0426829268292,7.999146341463415,0.9984726424143635
2,mmlu,100,317.98,3.9667999999999997,0.9986798187285659
2,gsm8k,100,494.58,6.258700000000001,0.9941574832523651
3,humaneval,164,126.7439024390244,1.0517682926829268,0.8733187673091811
3,mmlu,100,15.07,0.4953,0.9750974036882949
3,gsm8k,100,288.87,1.9354999999999998,0.8167138805204059
