tier,latency_s,cdf
1,2.58,0.0027472527472527475
1,2.89,0.005494505494505495
1,3.13,0.008241758241758242
1,3.2,0.01098901098901099
1,3.22,0.013736263736263736
1,3.36,0.016483516483516484
1,3.39,0.019230769230769232
1,3.69,0.02197802197802198
1,3.69,0.024725274725274724
1,3.73,0.027472527472527472
1,3.94,0.03021978021978022
1,4.19,0.03296703296703297
1,4.33,0.03571428571428571
1,4.36,0.038461538461538464
1,4.45,0.04120879120879121
1,4.59,0.04395604395604396
1,4.66,0.046703296703296704
1,4.78,0.04945054945054945
1,4.9,0.0521978021978022
1,4.99,0.054945054945054944
1,5.0,0.057692307692307696
1,5.09,0.06043956043956044
1,5.09,0.06318681318681318
1,5.16,0.06593406593406594
1,5.18,0.06868131868131869
1,5.23,0.07142857142857142
1,5.23,0.07417582417582418
1,5.29,0.07692307692307693
1,5.37,0.07967032967032966
1,5.38,0.08241758241758242
1,5.59,0.08516483516483517
1,5.62,0.08791208791208792
1,5.68,0.09065934065934066
1,5.89,0.09340659340659341
1,5.92,0.09615384615384616
1,6.16,0.0989010989010989
1,6.2,0.10164835164835165
1,6.27,0.1043956043956044
1,6.32,0.10714285714285714
1,6.37,0.10989010989010989
1,6.37,0.11263736263736264
1,6.42,0.11538461538461539
1,6.44,0.11813186813186813
1,6.56,0.12087912087912088
1,6.65,0.12362637362637363
1,6.68,0.12637362637362637
1,6.7,0.12912087912087913
1,6.74,0.13186813186813187
1,6.82,0.1346153846153846
1,6.93,0.13736263736263737
1,6.95,0.1401098901098901
1,6.99,0.14285714285714285
1,7.19,0.14560439560439561
1,7.21,0.14835164835164835
1,7.22,0.1510989010989011
1,7.24,0.15384615384615385
1,7.35,0.1565934065934066
1,7.41,0.15934065934065933
1,7.44,0.1620879120879121
1,7.57,0.16483516483516483
1,7.6,0.16758241758241757
1,7.63,0.17032967032967034
1,7.67,0.17307692307692307
1,7.71,0.17582417582417584
1,7.73,0.17857142857142858
1,7.79,0.1813186813186813
1,7.8,0.18406593406593408
1,7.83,0.18681318681318682
1,7.9,0.18956043956043955
1,7.98,0.19230769230769232
1,8.04,0.19505494505494506
1,8.09,0.1978021978021978
1,8.1,0.20054945054945056
1,8.16,0.2032967032967033
1,8.17,0.20604395604395603
1,8.33,0.2087912087912088
1,8.39,0.21153846153846154
1,8.41,0.21428571428571427
1,8.49,0.21703296703296704
1,8.52,0.21978021978021978
1,8.54,0.22252747252747251
1,8.8,0.22527472527472528
1,8.8,0.22802197802197802
1,8.81,0.23076923076923078
1,8.96,0.23351648351648352
1,9.04,0.23626373626373626
1,9.05,0.23901098901098902
1,9.09,0.24175824175824176
