tier,n,mean,p50,p90,p95,p99,min,max,s_per_output_token_mean,s_per_output_token_p50,completion_tokens_mean,pearson_r_completion_vs_latency
1,364,42.47277472527472,18.01,166.58,194.44,221.03,2.58,268.88,0.011936217459418766,0.011721556886227546,3572.0412087912086,0.9895787744018233
2,364,6.41321428571429,4.19,9.96,14.23,34.46,0.53,195.96,0.012738841829006944,0.012429378531073447,524.217032967033,0.9977232944998937
3,364,1.1416758241758242,1.0,2.12,2.42,2.72,0.32,3.34,0.04424993254251704,0.008571428571428572,140.6043956043956,0.9590735332608725
