name,frac_queries,n_tail,share_of_latency_mass,tail_min_s,tail_mean_s
ecologic,0.10164835164835165,37,0.5442492182519203,108.58,193.80567567567567
always_t1,0.10164835164835165,37,0.472010188815201,166.58,197.22486486486488
always_t2,0.10164835164835165,37,0.4152569600027416,9.96,26.199459459459458
frontier,0.10164835164835165,37,0.22138267921168509,2.12,2.486486486486486
random,0.10164835164835165,37,0.6747501287081255,43.31,112.99675675675675
oracle_usd,0.10164835164835165,37,0.3240670458444678,9.28,16.846756756756758
