name,label,leq_2s,leq_5s,leq_10s,leq_30s,leq_60s,leq_120s,serial_qph,p90_s,p90_ci_lo,p90_ci_hi
ecologic,EcoLogic (keyword),0.03571428571428571,0.19505494505494506,0.44505494505494503,0.7225274725274725,0.8434065934065934,0.9010989010989011,99.45657123774251,108.58,70.39,181.95
always_t1,Always-T1,0.0,0.057692307692307696,0.260989010989011,0.6401098901098901,0.8104395604395604,0.8956043956043956,84.76017927450619,166.58,76.23,182.89
always_t2,Always-T2,0.13736263736263737,0.6071428571428571,0.9010989010989011,0.9835164835164835,0.989010989010989,0.9972527472527473,561.340981232945,9.96,8.64,11.26
frontier,Always-T3,0.8708791208791209,1.0,1.0,1.0,1.0,1.0,3153.259378684698,2.12,1.96,2.28
random,Random,0.37637362637362637,0.5851648351648352,0.7307692307692307,0.8708791208791209,0.9258241758241759,0.9615384615384616,211.48479953003383,43.31,29.14,60.94
oracle_usd,Oracle (hindsight),0.16483516483516483,0.6236263736263736,0.9148351648351648,0.9917582417582418,0.9972527472527473,1.0,681.27229055972,9.28,7.97,10.65
