latency_s,cdf
0.32,0.0027472527472527475
0.32,0.005494505494505495
0.33,0.008241758241758242
0.34,0.01098901098901099
0.34,0.013736263736263736
0.34,0.016483516483516484
0.36,0.019230769230769232
0.36,0.02197802197802198
0.36,0.024725274725274724
0.37,0.027472527472527472
0.37,0.03021978021978022
0.37,0.03296703296703297
0.37,0.03571428571428571
0.37,0.038461538461538464
0.37,0.04120879120879121
0.37,0.04395604395604396
0.37,0.046703296703296704
0.38,0.04945054945054945
0.38,0.0521978021978022
0.38,0.054945054945054944
0.38,0.057692307692307696
0.38,0.06043956043956044
0.39,0.06318681318681318
0.39,0.06593406593406594
0.39,0.06868131868131869
0.39,0.07142857142857142
0.39,0.07417582417582418
0.39,0.07692307692307693
0.39,0.07967032967032966
0.4,0.08241758241758242
0.4,0.08516483516483517
0.4,0.08791208791208792
0.4,0.09065934065934066
0.4,0.09340659340659341
0.4,0.09615384615384616
0.41,0.0989010989010989
0.41,0.10164835164835165
0.41,0.1043956043956044
0.41,0.10714285714285714
0.41,0.10989010989010989
0.41,0.11263736263736264
0.41,0.11538461538461539
0.41,0.11813186813186813
0.41,0.12087912087912088
0.42,0.12362637362637363
0.42,0.12637362637362637
0.42,0.12912087912087913
0.42,0.13186813186813187
0.42,0.1346153846153846
0.42,0.13736263736263737
0.42,0.1401098901098901
0.42,0.14285714285714285
0.42,0.14560439560439561
0.43,0.14835164835164835
0.43,0.1510989010989011
0.43,0.15384615384615385
0.43,0.1565934065934066
0.44,0.15934065934065933
0.44,0.1620879120879121
0.44,0.16483516483516483
0.44,0.16758241758241757
0.44,0.17032967032967034
0.44,0.17307692307692307
0.44,0.17582417582417584
0.44,0.17857142857142858
0.45,0.1813186813186813
0.45,0.18406593406593408
0.45,0.18681318681318682
0.45,0.18956043956043955
0.46,0.19230769230769232
0.46,0.19505494505494506
0.46,0.1978021978021978
0.46,0.20054945054945056
0.46,0.2032967032967033
0.46,0.20604395604395603
0.46,0.2087912087912088
0.47,0.21153846153846154
0.47,0.21428571428571427
0.47,0.21703296703296704
0.47,0.21978021978021978
0.47,0.22252747252747251
0.48,0.22527472527472528
0.48,0.22802197802197802
0.49,0.23076923076923078
0.5,0.23351648351648352
0.51,0.23626373626373626
0.51,0.23901098901098902
0.52,0.24175824175824176
0.54,0.2445054945054945
0.54,0.24725274725274726
0.55,0.25
0.55,0.25274725274725274
0.57,0.2554945054945055
0.57,0.25824175824175827
0.58,0.260989010989011
0.58,0.26373626373626374
0.58,0.2664835164835165
0.59,0.2692307692307692
0.59,0.27197802197802196
0.6,0.27472527472527475
0.61,0.2774725274725275
0.61,0.2802197802197802
0.61,0.28296703296703296
0.62,0.2857142857142857
0.62,0.28846153846153844
0.63,0.29120879120879123
0.63,0.29395604395604397
0.65,0.2967032967032967
0.66,0.29945054945054944
0.67,0.3021978021978022
0.67,0.30494505494505497
0.67,0.3076923076923077
0.68,0.31043956043956045
0.68,0.3131868131868132
0.69,0.3159340659340659
0.69,0.31868131868131866
0.71,0.32142857142857145
0.71,0.3241758241758242
0.71,0.3269230769230769
0.72,0.32967032967032966
0.73,0.3324175824175824
0.73,0.33516483516483514
0.73,0.33791208791208793
0.74,0.34065934065934067
0.76,0.3434065934065934
0.76,0.34615384615384615
0.76,0.3489010989010989
0.77,0.3516483516483517
0.77,0.3543956043956044
0.78,0.35714285714285715
0.78,0.3598901098901099
0.8,0.3626373626373626
0.81,0.36538461538461536
0.81,0.36813186813186816
0.81,0.3708791208791209
0.82,0.37362637362637363
0.82,0.37637362637362637
0.82,0.3791208791208791
0.82,0.38186813186813184
0.82,0.38461538461538464
0.82,0.3873626373626374
0.82,0.3901098901098901
0.83,0.39285714285714285
0.83,0.3956043956043956
0.84,0.3983516483516483
0.84,0.4010989010989011
0.85,0.40384615384615385
0.85,0.4065934065934066
0.86,0.40934065934065933
0.86,0.41208791208791207
0.86,0.41483516483516486
0.87,0.4175824175824176
0.87,0.42032967032967034
0.88,0.4230769230769231
0.88,0.4258241758241758
0.88,0.42857142857142855
0.88,0.43131868131868134
0.88,0.4340659340659341
0.89,0.4368131868131868
0.9,0.43956043956043955
0.9,0.4423076923076923
0.9,0.44505494505494503
0.9,0.4478021978021978
0.93,0.45054945054945056
0.93,0.4532967032967033
0.93,0.45604395604395603
0.94,0.45879120879120877
0.94,0.46153846153846156
0.95,0.4642857142857143
0.96,0.46703296703296704
0.96,0.4697802197802198
0.96,0.4725274725274725
0.96,0.47527472527472525
0.96,0.47802197802197804
0.97,0.4807692307692308
0.97,0.4835164835164835
0.98,0.48626373626373626
0.98,0.489010989010989
0.98,0.49175824175824173
0.98,0.4945054945054945
0.99,0.49725274725274726
1.0,0.5
1.0,0.5027472527472527
1.0,0.5054945054945055
1.01,0.5082417582417582
1.01,0.510989010989011
1.01,0.5137362637362637
1.02,0.5164835164835165
1.03,0.5192307692307693
1.03,0.521978021978022
1.03,0.5247252747252747
1.05,0.5274725274725275
1.05,0.5302197802197802
1.05,0.532967032967033
1.06,0.5357142857142857
1.07,0.5384615384615384
1.07,0.5412087912087912
1.07,0.5439560439560439
1.08,0.5467032967032966
1.08,0.5494505494505495
1.08,0.5521978021978022
1.09,0.554945054945055
1.09,0.5576923076923077
1.1,0.5604395604395604
1.1,0.5631868131868132
1.1,0.5659340659340659
1.11,0.5686813186813187
1.12,0.5714285714285714
1.12,0.5741758241758241
1.13,0.5769230769230769
1.13,0.5796703296703297
1.13,0.5824175824175825
1.13,0.5851648351648352
1.14,0.5879120879120879
1.14,0.5906593406593407
1.14,0.5934065934065934
1.14,0.5961538461538461
1.14,0.5989010989010989
1.15,0.6016483516483516
1.16,0.6043956043956044
1.17,0.6071428571428571
1.19,0.6098901098901099
1.21,0.6126373626373627
1.21,0.6153846153846154
1.21,0.6181318681318682
1.21,0.6208791208791209
1.23,0.6236263736263736
1.23,0.6263736263736264
1.24,0.6291208791208791
1.26,0.6318681318681318
1.26,0.6346153846153846
1.27,0.6373626373626373
1.27,0.6401098901098901
1.27,0.6428571428571429
1.29,0.6456043956043956
1.3,0.6483516483516484
1.31,0.6510989010989011
1.31,0.6538461538461539
1.31,0.6565934065934066
1.32,0.6593406593406593
1.36,0.6620879120879121
1.37,0.6648351648351648
1.37,0.6675824175824175
1.38,0.6703296703296703
1.38,0.6730769230769231
1.39,0.6758241758241759
1.4,0.6785714285714286
1.4,0.6813186813186813
1.42,0.6840659340659341
1.42,0.6868131868131868
1.42,0.6895604395604396
1.43,0.6923076923076923
1.47,0.695054945054945
1.47,0.6978021978021978
1.47,0.7005494505494505
1.47,0.7032967032967034
1.49,0.7060439560439561
1.49,0.7087912087912088
1.49,0.7115384615384616
1.49,0.7142857142857143
1.49,0.717032967032967
1.49,0.7197802197802198
1.5,0.7225274725274725
1.5,0.7252747252747253
1.5,0.728021978021978
1.5,0.7307692307692307
1.5,0.7335164835164835
1.51,0.7362637362637363
1.52,0.739010989010989
1.56,0.7417582417582418
1.57,0.7445054945054945
1.57,0.7472527472527473
1.57,0.75
1.58,0.7527472527472527
1.59,0.7554945054945055
1.59,0.7582417582417582
1.59,0.760989010989011
1.6,0.7637362637362637
1.62,0.7664835164835165
1.62,0.7692307692307693
1.63,0.771978021978022
1.64,0.7747252747252747
1.65,0.7774725274725275
1.66,0.7802197802197802
1.66,0.782967032967033
1.66,0.7857142857142857
1.67,0.7884615384615384
1.68,0.7912087912087912
1.7,0.7939560439560439
1.71,0.7967032967032966
1.71,0.7994505494505495
1.72,0.8021978021978022
1.74,0.804945054945055
1.74,0.8076923076923077
1.74,0.8104395604395604
1.78,0.8131868131868132
1.78,0.8159340659340659
1.79,0.8186813186813187
1.79,0.8214285714285714
1.8,0.8241758241758241
1.8,0.8269230769230769
1.81,0.8296703296703297
1.84,0.8324175824175825
1.85,0.8351648351648352
1.86,0.8379120879120879
1.86,0.8406593406593407
1.87,0.8434065934065934
1.88,0.8461538461538461
1.89,0.8489010989010989
1.92,0.8516483516483516
1.93,0.8543956043956044
1.94,0.8571428571428571
1.95,0.8598901098901099
1.96,0.8626373626373627
1.96,0.8653846153846154
1.99,0.8681318681318682
2.0,0.8708791208791209
2.02,0.8736263736263736
2.03,0.8763736263736264
2.05,0.8791208791208791
2.05,0.8818681318681318
2.07,0.8846153846153846
2.09,0.8873626373626373
2.09,0.8901098901098901
2.1,0.8928571428571429
2.1,0.8956043956043956
2.12,0.8983516483516484
2.12,0.9010989010989011
2.15,0.9038461538461539
2.15,0.9065934065934066
2.17,0.9093406593406593
2.18,0.9120879120879121
