w_humaneval,w_mmlu,w_gsm8k,ecologic,always_t2,frontier,t2_cheaper_than_eco
0.0,0.0,1.0,31.487800000000007,6.258700000000002,1.9354999999999998,True
0.0,0.2,0.8,32.17584000000001,5.800320000000002,1.64746,True
0.0,0.4,0.6,32.863879999999995,5.34194,1.3594199999999996,True
0.0,0.6,0.4,33.551919999999996,4.883559999999999,1.0713799999999998,True
0.0,0.8,0.2,34.239959999999996,4.425179999999998,0.7833399999999998,True
0.0,1.0,0.0,34.92799999999999,3.9667999999999974,0.49529999999999974,True
0.2,0.0,0.8,33.15855707317074,6.606789268292686,1.7587536585365853,True
0.2,0.2,0.6,33.84659707317073,6.148409268292685,1.4707136585365852,True
0.2,0.4,0.4,34.53463707317073,5.690029268292684,1.1826736585365853,True
0.2,0.6,0.2,35.22267707317073,5.231649268292683,0.8946336585365853,True
0.2,0.8,0.0,35.91071707317072,4.773269268292682,0.6065936585365852,True
0.4,0.0,0.6,34.82931414634146,6.954878536585369,1.5820073170731705,True
0.4,0.2,0.4,35.51735414634146,6.496498536585369,1.2939673170731707,True
0.4,0.4,0.2,36.20539414634146,6.038118536585368,1.0059273170731706,True
0.4,0.6,0.0,36.893434146341455,5.579738536585366,0.7178873170731705,True
0.6,0.0,0.4,36.50007121951219,7.302967804878053,1.405260975609756,True
0.6,0.2,0.2,37.188111219512194,6.844587804878052,1.117220975609756,True
0.6,0.4,0.0,37.87615121951219,6.38620780487805,0.8291809756097559,True
0.8,0.0,0.2,38.17082829268293,7.651057073170737,1.2285146341463415,True
0.8,0.2,0.0,38.85886829268292,7.192677073170736,0.9404746341463415,True
1.0,0.0,0.0,39.84158536585365,7.99914634146342,1.0517682926829268,True
