rule,tau,accuracy,energy_J,energy_frac_of_frontier,n_tier1,n_tier2,n_tier3,within_budget
index_ordered,0.306122,0.8833333333333333,745.015,0.14442305604664865,299,48,13,False
index_ordered,0.326531,0.8888888888888888,752.679,0.14590874197450449,294,51,15,False
index_ordered,0.346939,0.8916666666666667,759.8165,0.14729236453583947,293,51,16,False
index_ordered,0.367347,0.8916666666666667,792.4165,0.1536119576005707,284,55,21,False
index_ordered,0.387755,0.8916666666666667,787.1345,0.15258802844204583,278,59,23,False
index_ordered,0.408163,0.8888888888888888,833.1235,0.16150311327192085,276,57,27,False
index_ordered,0.428571,0.8944444444444445,850.7810000000001,0.1649260646381936,270,60,30,False
index_ordered,0.44898,0.8972222222222223,886.1385,0.17178020610402903,263,62,35,False
index_ordered,0.469388,0.8972222222222223,882.497,0.17107429205049468,261,64,35,False
index_ordered,0.489796,0.9027777777777778,867.0835,0.1680863458019292,252,72,36,False
index_ordered,0.510204,0.9027777777777778,856.6385,0.16606155593809124,251,72,37,False
index_ordered,0.530612,0.9027777777777778,883.3995,0.1712492439750628,245,74,41,False
index_ordered,0.55102,0.9027777777777778,897.4015,0.17396356735212928,243,74,43,False
index_ordered,0.571429,0.8972222222222223,917.4505,0.17785011708693899,236,76,48,False
index_ordered,0.591837,0.9,931.283,0.1805315824571198,233,77,50,False
index_ordered,0.612245,0.8972222222222223,1008.9065,0.1955790957166341,227,76,57,False
index_ordered,0.632653,0.8944444444444445,1057.6195,0.20502223488725535,224,74,62,False
index_ordered,0.653061,0.9,1110.4645,0.2152663727862039,218,73,69,False
index_ordered,0.673469,0.9,1121.0805,0.2173243114357495,214,76,70,False
index_ordered,0.693878,0.9,1154.6565,0.2238331045873267,208,80,72,False
index_ordered,0.714286,0.9,1180.839,0.22890864892528145,208,78,74,False
index_ordered,0.734694,0.8972222222222223,1205.1455,0.2336205258831922,205,78,77,False
index_ordered,0.755102,0.8916666666666667,1317.3705,0.2553756280822555,199,76,85,False
index_ordered,0.77551,0.8916666666666667,1343.7055,0.26048073493377993,194,76,90,False
index_ordered,0.795918,0.8944444444444445,1446.897,0.28048467014050427,188,73,99,False
index_ordered,0.816327,0.8944444444444445,1536.419,0.29783873794237153,186,70,104,False
index_ordered,0.836735,0.8972222222222223,1594.7355,0.3091435400576905,177,71,112,False
index_ordered,0.857143,0.9,1735.5185,0.33643468332247756,168,68,124,False
index_ordered,0.877551,0.9,1960.045,0.37995971744052603,151,69,140,False
index_ordered,0.897959,0.9,2186.0055,0.42376273611240345,143,61,156,False
index_ordered,0.918367,0.8972222222222223,2367.3935,0.45892526208864487,136,56,168,False
index_ordered,0.938776,0.9,2631.571,0.5101367435873576,116,54,190,False
index_ordered,0.959184,0.9055555555555556,2871.711,0.5566884944635712,101,46,213,False
index_ordered,0.979592,0.9111111111111111,3548.7595,0.6879360713067212,71,34,255,False
index_ordered,1.0,0.9055555555555556,5158.56,1.0,0,0,360,False
