w_humaneval,w_mmlu,w_gsm8k,ecologic,always_t2,frontier,t2_cheaper_than_eco
0.0,0.0,1.0,0.0006529146000000002,0.00010660050000000001,0.003122925,True
0.0,0.2,0.8,0.0006705985000000002,9.990810000000001e-05,0.002593905,True
0.0,0.4,0.6,0.0006882824,9.32157e-05,0.002064885,True
0.0,0.6,0.4,0.0007059663,8.65233e-05,0.001535865,True
0.0,0.8,0.2,0.0007236501999999999,7.983090000000001e-05,0.0010068450000000001,True
0.0,1.0,0.0,0.0007413340999999998,7.31385e-05,0.00047782500000000014,True
0.2,0.0,0.8,0.0007019925336585369,0.00011427674146341465,0.002835559512195122,True
0.2,0.2,0.6,0.0007196764336585366,0.00010758434146341462,0.002306539512195122,True
0.2,0.4,0.4,0.0007373603336585366,0.00010089194146341464,0.001777519512195122,True
0.2,0.6,0.2,0.0007550442336585365,9.419954146341463e-05,0.001248499512195122,True
0.2,0.8,0.0,0.0007727281336585364,8.750714146341463e-05,0.0007194795121951221,True
0.4,0.0,0.6,0.0007510704673170732,0.00012195298292682927,0.002548194024390244,True
0.4,0.2,0.4,0.0007687543673170732,0.00011526058292682926,0.0020191740243902436,True
0.4,0.4,0.2,0.0007864382673170732,0.00010856818292682926,0.0014901540243902438,True
0.4,0.6,0.0,0.0008041221673170731,0.00010187578292682927,0.0009611340243902439,True
0.6,0.0,0.4,0.0008001484009756098,0.0001296292243902439,0.002260828536585366,True
0.6,0.2,0.2,0.0008178323009756098,0.0001229368243902439,0.0017318085365853656,True
0.6,0.4,0.0,0.0008355162009756097,0.0001162444243902439,0.0012027885365853658,True
0.8,0.0,0.2,0.0008492263346341465,0.00013730546585365855,0.0019734630487804874,True
0.8,0.2,0.0,0.0008669102346341463,0.00013061306585365854,0.0014444430487804876,True
1.0,0.0,0.0,0.0008983042682926829,0.00014498170731707316,0.0016860975609756094,True
