policy,key,n,correct,accuracy,wilson_lo,wilson_hi,cost_usd,usd_per_item,vs_frontier,mix_t1,mix_t2,mix_t3,mcnemar_b,mcnemar_c,mcnemar_p,in_sample_keyword
EcoLogic routing (raw query),ecologic,364,316,0.8681318681318682,0.8294978419728918,0.8990769110177377,0.28674677000000004,0.0007877658516483517,0.4504383006464081,274,87,3,,,,True
Always Tier 1,always_t1,364,319,0.8763736263736264,0.8385771401308861,0.9063089879266977,0.33422946,0.0009182128021978022,0.5250268380995768,364,0,0,0,3,0.25,False
Always Tier 2,always_t2,364,336,0.9230769230769231,0.8910714268121867,0.9462458266248055,0.041750899999999966,0.00011470027472527463,0.06558471241527185,0,364,0,5,25,0.00032491423189640045,False
Random tier (stored seed),random,364,330,0.9065934065934066,0.8723075660077286,0.9323869372953546,0.36280891,0.0009967277747252746,0.5699210801215844,125,107,132,5,19,0.006610751152038574,False
Always-frontier (gpt-4o),frontier,364,333,0.9148351648351648,0.8816512473468021,0.9393546310232355,0.6365949999999997,0.0017488873626373617,1.0,0,0,364,11,28,0.009475304279476404,False
Oracle (cheapest correct),oracle,364,351,0.9642857142857143,0.939862539913721,0.9790115888580431,0.04702265999999997,0.00012918313186813178,0.07386589589927661,9,343,12,0,35,5.820766091346741e-11,False
