threshold,strong_pct,true_usd,naive_usd,misestimate_pct,R_naive,correction,R_true,sign_flip
0.21292775869369507,100.0,0.004313205814843153,0.004313205814843153,0.0,0.0029685368087439246,-0.00017350620430628015,0.0027950306044376436,False
0.4211216330528259,89.9770466717674,0.003909702677888294,0.0038927968181453644,-0.4324078104082591,0.0025481278120461364,-0.00015660034456335057,0.0023915274674827848,False
0.45597598552703855,79.95409334353482,0.003497752257077276,0.003472387821447576,-0.7251638699790113,0.002127718815348348,-0.00014814176867658028,0.0019795770466717673,False
0.477284574508667,70.00765110941086,0.003081292578423871,0.003055188053732214,-0.8471939625093979,0.0017105190476329854,-0.00014740167961462274,0.0015631173680183627,False
0.4984637975692749,59.984697781178276,0.0026634379495026777,0.0026347790570344256,-1.076011268578767,0.0012901100509351974,-0.0001448473118380282,0.0011452627390971689,False
0.5167810916900635,50.03825554705432,0.002256832440703902,0.002217579289319063,-1.7393028687852468,0.0008729102832198352,-0.00013425305292144162,0.0007386572302983933,False
0.5349911093711853,40.01530221882173,0.0018536690130068862,0.0017971702926212751,-3.0479400577540527,0.0004525012865220469,-0.0001170074839206694,0.00033549380260137714,False
0.5554229855537415,29.992348890589138,0.0014258530986993112,0.0013767612959234869,-3.44297759850624,3.209228982425862e-05,-0.00012441440153045569,-9.232211170619742e-05,True
0.5815513014793395,20.04590665646519,0.001005880336648814,0.0009595615282081242,-4.6048030519221985,-0.00038510747789110374,-0.00012718739586559092,-0.0005122948737566948,False
0.6258944869041443,10.022953328232594,0.0005754361132364193,0.0005391525315103361,-6.305405742092525,-0.0008055164745888919,-0.00013722262258019779,-0.0009427390971690895,False
0.8179140686988831,0.07651109410864575,0.00012225554705432286,0.00012195276379497368,-0.24766423008572733,-0.0012227162423042543,-0.00017320342104693194,-0.001395919663351186,False
