model,mean_calib_auc,mean_train_auc,t1_calib_auc,t2_calib_auc
logistic (R2 baseline),0.681642039359188,0.8140328179968193,0.6710613456302583,0.6922227330881177
gradient boosting,0.6546987140302999,0.9576731095686477,0.6285842184012362,0.6808132096593635
random forest,0.6702714327773408,0.9998699858595974,0.6523032205842674,0.6882396449704142
k-NN (k=50),0.6521062203542187,0.7834751856319515,0.6135789447864799,0.6906334959219574
