policy,mean_acc_k3,n_flip,frac_flip,within_share,wilson_half_width_pp,sampling_plus_gen_half_pp
always_t1,0.8315018315018315,72,0.1978021978021978,0.4697114923799483,3.8077763058625536,3.848900952809738
always_t2,0.9148351648351648,21,0.057692307692307696,0.24626070101760625,2.7146874088630812,2.8707684963773596
always_t3,0.8956043956043956,5,0.013736263736263736,0.04884196551909725,3.115993218262425,3.1453901022331947
ecologic,0.8406593406593407,56,0.15384615384615385,0.3820573862924446,3.6509200746222104,3.763706883821997
random,0.8836996336996336,35,0.09615384615384616,0.31118096093399206,3.187267144415973,3.2969593566316227
learned_s7,0.9258241758241759,19,0.0521978021978022,0.25278242703382886,2.5278242526559414,2.69519033651199
learned_s5,0.9175824175824175,21,0.057692307692307696,0.25371097650269586,2.669636594176661,2.8283040730100106
